loanId,memberId,yearsEmployment,homeOwnership,annualIncome,dtiRatio,lengthCreditHistory,numTotalCreditLines,numOpenCreditLines,numOpenCreditLines1Year,revolvingBalance,revolvingUtilizationRate,numDerogatoryRec,numDelinquency2Years,numChargeoff1year,numInquiries6Mon,isJointApplication,loanAmount,term,interestRate,monthlyPayment,grade,loanStatus
1821279,2124878,1.0,1,47946,27.06,9,9,5.0,5,14027,75.35,15,0,0,1,0.0,17101.0,60,18.01,434,12,0
1891878,2248022,0.5,1,51844,21.72,10,17,15.0,11,12544,77.54,0,0,0,0,0.0,23785.0,36,13.1,803,6,0
1267133,2876501,0.5,0,54799,22.16,3,15,11.0,10,13012,83.94,0,0,0,2,0.0,14246.0,48,14.93,396,15,0
1374863,2027352,8.0,2,52317,12.69,37,10,7.0,6,16751,77.44,15,11,11,3,0.0,17298.0,48,7.07,415,7,0
1679646,2486530,1.0,1,53036,24.3,4,21,19.0,10,12349,100.0,0,0,0,0,0.0,23014.0,36,9.0,732,13,0
1784502,2754509,12.0,2,51731,28.09,1,18,15.0,9,11173,84.03,1,1,1,12,0.0,20210.0,36,15.42,705,13,0
1074245,2457605,1.0,2,50941,24.57,4,18,13.0,8,15538,49.09,0,0,0,0,0.0,25399.0,60,12.0,565,8,0
1006589,2217761,0.5,2,56609,23.53,2,23,12.0,8,11471,57.23,0,0,0,0,0.0,21308.0,36,12.43,712,12,0
1438992,2709990,0.5,2,53537,13.42,30,20,16.0,10,15509,66.53,0,1,1,1,0.0,19979.0,60,8.68,412,15,0
1447605,2849528,0.5,1,50042,22.34,8,21,11.0,7,11742,65.56,9,0,0,0,0.0,22562.0,48,4.81,518,13,0
1246285,2003546,1.0,1,52122,22.25,23,15,9.0,6,17191,62.77,0,3,2,0,0.0,18233.0,48,11.05,472,12,0
1433257,2847097,1.0,0,48277,14.6,2,21,21.0,19,12959,49.68,1,0,0,16,0.0,25573.0,60,8.39,523,11,0
1317921,2467433,3.0,1,59278,21.67,3,18,15.0,8,11742,42.39,0,1,1,0,0.0,18496.0,48,8.58,457,15,0
1812572,2063286,12.0,2,52467,14.01,3,13,10.0,9,15685,70.67,7,0,0,1,0.0,25877.0,36,18.22,938,11,0
1367710,2405857,8.0,1,51680,24.47,6,15,8.0,6,11831,59.27,0,0,0,0,0.0,25266.0,60,21.67,693,11,0
1865119,2194351,8.0,2,51363,24.83,1,14,9.0,6,13279,56.46,0,0,0,1,0.0,23030.0,60,18.1,586,3,0
1138627,2637311,0.5,0,45436,13.61,1,19,13.0,9,14923,71.13,9,0,0,0,0.0,24105.0,36,5.5,728,8,0
1682560,2222916,12.0,2,54719,17.17,4,12,6.0,4,13181,74.74,0,0,0,1,1.0,23639.0,36,21.53,897,8,0
1484603,2547515,8.0,2,51617,21.77,2,17,9.0,5,11222,58.22,0,6,5,1,0.0,29887.0,48,16.43,854,12,0
1570031,2282879,12.0,1,51877,14.95,5,13,8.0,7,14793,84.75,0,0,0,3,0.0,19484.0,36,13.39,660,14,0
1039029,2110188,1.0,1,49682,21.76,5,14,11.0,9,17841,94.35,0,3,3,1,0.0,22040.0,60,7.61,443,8,0
1494665,2279832,8.0,2,52026,23.41,4,18,14.0,13,20396,80.67,0,0,0,2,0.0,24112.0,36,13.69,820,12,0
1379164,2692508,12.0,1,48880,11.6,3,15,11.0,10,10552,62.53,0,0,0,1,0.0,29661.0,48,12.11,783,2,0
1515531,2778552,1.0,2,50962,25.53,1,15,9.0,8,11989,50.07,0,0,0,1,0.0,24661.0,36,18.55,898,13,0
1579914,2792341,8.0,2,53710,16.73,9,13,9.0,8,14689,55.21,0,0,0,0,0.0,29622.0,36,20.12,1103,12,0
1670427,2143112,8.0,2,53975,21.08,2,18,14.0,12,13128,36.2,0,0,0,0,0.0,22016.0,36,6.46,674,1,0
1473875,2291373,12.0,1,46302,22.18,37,16,9.0,5,17716,61.75,0,3,2,2,0.0,22289.0,60,17.96,566,8,0
1806378,2194515,3.0,1,58970,20.19,9,15,13.0,11,14039,81.02,1,0,0,0,0.0,29450.0,36,26.91,1201,15,0
1236508,2359109,0.5,2,52087,16.27,6,19,10.0,9,12328,67.42,0,0,0,0,0.0,23964.0,48,8.32,589,7,0
1284785,2485935,0.5,1,49700,16.04,6,21,21.0,17,16538,70.1,0,0,0,0,0.0,19131.0,48,20.06,583,15,0
1357352,2809631,8.0,1,50268,26.71,21,12,8.0,7,10197,50.24,0,0,0,0,0.0,18031.0,36,13.81,615,11,0
1779946,2574662,1.0,2,53631,19.27,10,19,14.0,13,12100,56.11,0,0,0,2,0.0,16857.0,36,16.26,595,13,0
1210132,2825840,8.0,2,55493,20.76,10,17,16.0,8,13177,83.51,0,0,0,0,0.0,26111.0,48,15.31,731,6,0
1193993,2835033,8.0,1,55273,26.06,1,8,4.0,3,13812,89.88,0,0,0,1,0.0,22891.0,60,8.74,472,7,0
1350419,2825522,3.0,0,56670,22.02,24,12,8.0,7,14147,71.01,1,7,4,0,0.0,21576.0,36,21.7,821,15,0
1066147,2158772,8.0,0,54845,23.09,3,13,8.0,5,10585,81.1,0,1,1,1,0.0,25108.0,48,16.73,721,12,0
1708514,2661563,3.0,1,61233,19.23,7,10,6.0,6,13268,99.23,14,0,0,0,0.0,25186.0,36,10.4,817,13,0
1099624,2049911,1.0,1,54596,25.09,2,12,8.0,6,16192,57.41,14,0,0,0,0.0,34153.0,60,9.47,717,12,0
1479104,2537596,0.5,1,57204,23.25,1,23,20.0,16,11357,75.0,0,0,0,0,0.0,18715.0,48,11.97,493,15,0
1383640,2109820,0.5,1,53707,15.44,13,13,12.0,8,13733,67.68,0,0,0,1,0.0,20869.0,60,9.78,441,11,0
1195400,2014472,3.0,0,55236,23.76,2,18,13.0,12,12837,59.11,0,0,0,1,0.0,27865.0,36,11.2,915,15,0
1143733,2268285,8.0,2,56534,28.81,21,15,13.0,9,15575,64.29,0,0,0,0,0.0,15753.0,48,16.91,454,7,0
1791152,2624661,8.0,0,48479,16.28,1,10,10.0,7,14876,85.68,0,0,0,0,0.0,21391.0,36,16.69,759,4,0
1196269,2262295,0.5,2,54110,24.13,3,23,13.0,9,11439,51.75,0,6,6,1,0.0,23103.0,48,15.28,646,14,0
1854396,2272104,1.0,0,54599,23.14,10,20,15.0,9,11412,88.31,0,0,0,3,0.0,21137.0,48,20.47,649,8,0
1729414,2690054,3.0,0,46956,22.77,1,9,7.0,5,12060,74.54,4,1,1,1,0.0,24779.0,48,15.2,692,13,0
1005421,2899545,8.0,1,50931,34.51,1,17,11.0,7,11894,100.0,0,11,9,0,0.0,20925.0,48,19.17,628,15,0
1426511,2003495,12.0,1,46958,24.3,3,21,17.0,10,13499,68.76,1,0,0,1,0.0,20683.0,36,23.22,803,14,0
1412596,2788339,8.0,2,51974,19.22,5,23,21.0,13,14380,85.49,0,0,0,2,0.0,19551.0,60,16.53,481,10,0
1109624,2097932,0.5,2,50777,17.61,6,6,4.0,3,12117,62.1,0,1,1,1,0.0,24501.0,60,7.22,488,8,0
1628030,2862223,3.0,1,54862,9.71,2,11,10.0,9,15209,56.19,0,0,0,0,0.0,21574.0,60,13.84,500,11,0
1173001,2714549,0.5,1,52148,16.54,6,15,8.0,7,14158,88.77,0,0,0,16,0.0,22649.0,48,6.82,540,15,0
1869782,2012152,1.0,2,46821,25.55,3,18,13.0,8,7842,43.2,0,0,0,1,0.0,22029.0,48,10.29,562,15,0
1873338,2826372,8.0,0,55954,19.82,2,14,14.0,13,13005,73.31,0,0,0,1,0.0,25664.0,48,16.55,735,15,0
1735725,2513821,8.0,1,52862,20.05,33,14,12.0,6,11491,54.63,0,0,0,1,0.0,20628.0,60,13.9,479,15,0
1084404,2557164,1.0,0,43539,23.02,6,18,18.0,15,14885,57.59,1,5,3,0,0.0,14001.0,48,12.01,369,12,0
1835137,2775070,1.0,1,53231,20.55,7,14,11.0,9,10395,78.92,0,0,0,2,0.0,22757.0,48,21.27,708,12,0
1738246,2819071,12.0,2,49606,17.63,7,12,11.0,8,13640,80.59,0,0,0,0,0.0,25760.0,36,10.1,832,15,0
1884694,2051318,12.0,2,55801,12.26,4,5,3.0,2,16081,49.89,5,1,1,1,0.0,24837.0,48,13.87,677,8,0
1601068,2703526,0.5,1,57175,18.54,4,17,11.0,11,16873,68.45,0,0,0,1,0.0,19768.0,48,14.34,544,13,0
1089568,2894938,1.0,2,52585,16.16,19,10,5.0,3,15988,68.04,0,0,0,0,0.0,23785.0,48,20.01,724,5,0
1353626,2415693,12.0,1,49534,22.29,6,20,19.0,15,14408,97.7,0,0,0,0,0.0,23627.0,60,8.68,487,14,0
1606361,2857274,12.0,2,58166,22.42,2,15,14.0,10,16455,49.64,0,2,1,0,0.0,27477.0,48,25.63,921,3,0
1452959,2590462,12.0,0,54037,11.23,15,11,10.0,5,14287,83.32,0,0,0,0,0.0,22752.0,36,17.25,814,12,0
1009706,2137593,3.0,0,53462,23.06,3,20,16.0,9,13827,65.84,0,13,11,2,0.0,21775.0,48,21.5,680,14,0
1118475,2795412,8.0,1,56923,21.66,4,19,11.0,8,12330,58.22,0,15,14,2,0.0,23154.0,60,12.76,524,1,0
1882718,2253781,8.0,0,53273,20.89,10,9,6.0,4,11873,75.93,0,0,0,6,0.0,24575.0,60,12.98,559,14,0
1875046,2270191,0.5,0,54238,21.08,7,17,12.0,8,15070,66.11,0,1,1,3,0.0,23798.0,36,12.39,795,15,0
1487964,2816828,0.5,1,53886,18.16,5,15,14.0,11,12846,59.7,0,2,1,0,0.0,20473.0,48,14.36,563,13,0
1128601,2236622,3.0,1,55037,25.46,3,10,7.0,5,12875,84.07,0,18,10,0,0.0,26366.0,60,18.17,672,7,0
1863387,2540673,0.5,1,52333,20.19,5,13,10.0,7,13760,61.24,0,0,0,2,0.0,22028.0,60,16.22,538,5,0
1382672,2841062,3.0,2,55209,25.36,5,13,7.0,5,15412,18.35,1,0,0,16,0.0,27694.0,60,12.45,622,10,0
1632775,2343700,1.0,2,47863,19.78,17,9,7.0,5,16214,72.02,0,0,0,1,0.0,23198.0,36,8.53,733,8,0
1552925,2266076,0.5,2,52987,18.11,1,24,15.0,12,12150,68.72,1,0,0,0,0.0,28039.0,36,18.04,1014,14,0
1042585,2006876,0.5,0,52001,11.36,26,21,11.0,10,12713,84.04,1,10,8,0,0.0,22088.0,36,19.44,815,15,0
1441965,2053269,1.0,0,52585,16.39,4,16,15.0,13,11337,58.27,0,0,0,9,0.0,22822.0,36,8.05,716,10,0
1284461,2746865,1.0,1,57329,19.64,1,19,11.0,7,11319,51.46,12,0,0,2,0.0,26792.0,36,14.65,924,14,0
1722788,2540360,0.5,0,60793,21.63,2,15,10.0,6,12184,72.86,0,9,6,0,0.0,27870.0,48,18.23,822,9,0
1777816,2619482,12.0,0,46165,28.02,14,20,11.0,14,13253,59.77,0,1,1,1,0.0,24275.0,60,11.35,532,14,0
1580186,2394355,1.0,2,53831,30.8,1,19,15.0,9,12395,70.84,0,2,1,0,0.0,15510.0,60,10.1,330,9,0
